SAMPLE NAME,Sampled Distance,Equivalent RL4_06 Distance,Age MARCH 2018,d13C,d18O
RL4-1000,0.1,NA,1.08,-5.30,-4.70
RL4-1001,0.3,NA,1.09,-5.23,-4.72
RL4-1002,0.5,NA,1.10,-4.98,-4.61
RL4-1003,0.7,NA,1.11,-4.96,-4.56
RL4-1004,0.9,NA,1.12,-5.73,-4.79
RL4-1005,1.1,NA,1.13,-5.90,-4.90
RL4-1006,1.3,NA,1.14,-5.84,-4.47
RL4-1007,1.5,NA,1.15,-5.93,-4.82
RL4-1008,1.7,NA,1.17,-5.86,-4.75
RL4-1009,1.9,NA,1.18,-5.97,-4.73
RL4-1010,2.1,NA,1.19,-5.74,-4.45
RL4-1011,2.3,NA,1.20,-5.67,-4.56
RL4-1012,2.5,NA,1.21,-6.06,-4.56
RL4-1013,2.7,NA,1.22,-6.36,-4.69
RL4-1013a,2.9,NA,1.23,-6.80,-4.56
RL4-1014,3.1,NA,1.24,-7.42,-4.67
RL4-1015,3.3,NA,1.25,-7.70,-4.58
RL4-1016,3.5,NA,1.26,-7.56,-4.72
RL4-1017,3.7,2.13,1.27,-7.06,-4.32
RL4-1017a,3.9,2.44,1.29,-7.49,-4.40
RL4-1018,4.1,2.75,1.30,-7.29,-4.40
RL4-1019,4.3,3.06,1.31,-6.64,-4.39
RL4-1020,4.5,3.38,1.32,-7.09,-4.36
RL4-1021,4.7,3.69,1.33,-5.86,-4.19
RL4-1022,4.9,4.00,1.34,-5.67,-4.26
RL4-1023,5.1,4.31,1.35,-6.84,-4.50
RL4-1024,5.3,4.62,1.36,-5.79,-4.12
RL4-1025,5.5,4.94,1.37,-6.74,-4.41
RL4-1026,5.7,5.25,1.38,-6.88,-4.06
RL4-1027,5.9,5.56,1.39,-6.65,-4.10
RL4-1028,6.1,5.87,1.40,-6.99,-4.13
RL4-1029,6.3,6.18,1.41,-7.77,-4.34
RL4-1030,6.5,6.49,1.41,-7.07,-3.99
RL4-1031,6.7,6.81,1.42,-6.23,-3.64
RL4-1032,6.9,7.12,1.43,-5.94,-3.46
RL4-1033,7.1,7.43,1.44,-6.22,-3.61
RL4-1034,7.3,7.74,1.45,-6.66,-3.93
RL4-1035,7.5,8.05,1.46,-7.58,-4.32
RL4-1036,7.7,8.36,1.47,-7.73,-3.70
RL4-1037,7.9,8.68,1.48,-6.70,-3.76
RL4-1038,8.1,8.99,1.49,-7.04,-3.84
RL4-1039,8.3,9.30,1.50,-7.86,-3.97
RL4-1040,8.5,9.53,1.51,-7.38,-4.00
RL4-1041,8.7,9.75,1.51,-7.35,-4.03
RL4-1042,8.9,9.98,1.52,-6.02,-3.70
RL4-1043,9.1,10.21,1.53,-6.32,-3.82
RL4-1044,9.3,10.43,1.53,-6.59,-3.89
RL4-1045,9.5,10.66,1.54,-6.17,-3.68
RL4-1046,9.7,10.89,1.55,-6.07,-3.52
RL4-1047,9.9,11.11,1.56,-5.45,-3.66
RL4-1048,10.1,11.34,1.56,-5.82,-3.71
RL4-1049,10.3,11.57,1.57,-6.12,-3.80
RL4-1050,10.5,11.79,1.58,-5.84,-3.73
RL4-1051,10.7,12.02,1.59,-5.68,-3.48
RL4-1052,10.9,12.25,1.60,-6.58,-3.44
RL4-1053,11.1,12.47,1.61,-7.01,-3.78
RL4-1054,11.3,12.70,1.62,-6.73,-3.90
RL4-1055,11.5,12.93,1.63,-5.55,-3.44
RL4-1056,11.7,13.15,1.63,-5.95,-3.80
RL4-1057,11.9,13.38,1.64,-6.47,-3.80
RL4-1058,12.1,13.61,1.66,-6.65,-3.67
RL4-1059,12.3,13.83,1.67,-6.63,-3.53
RL4-1060,12.5,14.06,1.68,-6.39,-3.76
RL4-1061,12.7,14.29,1.69,-6.14,-3.81
RL4-1062,12.9,14.51,1.70,-6.20,-3.61
RL4-1063,13.1,14.74,1.71,-6.30,-3.66
RL4-1064,13.3,14.97,1.72,-6.67,-4.02
RL4-1065,13.5,15.19,1.73,-6.86,-4.06
RL4-1066,13.7,15.42,1.74,-6.73,-4.09
RL4-1067,13.9,15.65,1.75,-6.74,-4.00
RL4-1068,14.1,15.87,1.76,-6.84,-4.09
RL4-1069,14.3,16.10,1.77,-6.63,-4.02
RL4-1070,14.5,16.33,1.78,-6.34,-3.90
RL4-1071,14.7,16.55,1.79,-5.92,-3.68
RL4-1072,14.9,16.78,1.80,-5.86,-3.67
RL4-1073,15.1,17.01,1.81,-5.97,-3.93
RL4-1074,15.3,17.23,1.81,-6.10,-3.94
RL4-1075,15.5,17.46,1.82,-6.15,-3.72
RL4-1076,15.7,17.69,1.83,-6.34,-3.98
RL4-1077,15.9,17.91,1.84,-6.31,-3.95
RL4-1078,16.1,18.14,1.85,-6.24,-3.88
RL4-1079,16.3,18.37,1.86,-7.40,-4.16
RL4-1080,16.5,18.59,1.86,-8.44,-4.54
RL4-1081,16.7,18.82,1.87,-8.31,-4.27
RL4-1082,16.9,19.05,1.88,-8.28,-4.41
RL4-1083,17.1,19.27,1.89,-8.24,-4.33
RL4-1084,17.3,19.50,1.90,-8.38,-4.56
RL4-1085,17.5,19.72,1.91,-7.44,-4.59
RL4-1086,17.7,19.93,1.92,-6.90,-4.28
RL4-1087,17.9,20.15,1.92,,
RL4-1088,18.1,20.37,1.93,-7.81,-4.43
RL4-1089,18.3,20.59,1.94,-7.85,-4.45
RL4-1090,18.5,20.80,1.95,-6.95,-4.24
RL4-1091,18.7,21.02,1.95,-5.91,-4.25
RL4-1092,18.9,21.24,1.96,-5.84,-3.87
RL4-1093,19.1,21.46,1.97,-5.76,-3.75
RL4 1094,19.3,21.67,1.97,-5.72,-3.58
RL4 1095,19.5,21.89,1.98,-5.81,-3.55
RL4-1096,19.7,22.11,1.99,-5.80,-3.39
RL4-1097,19.9,22.33,2.00,-6.36,-3.88
RL4-1098,20.1,22.54,2.00,-6.57,-3.88
RL4-1099,20.3,22.76,2.01,-6.48,-3.98
RL4-1100,20.5,22.98,2.02,-6.44,-4.00
RL4-1101,20.7,23.20,2.02,-6.85,-3.96
RL4-1102,20.9,23.41,2.03,-6.67,-3.94
RL4-1103,21.1,23.63,2.03,-6.34,-3.85
RL4-1104,21.3,23.85,2.04,-6.00,-3.89
RL4-1105,21.5,24.07,2.05,-5.97,-4.02
RL4-1106,21.7,24.28,2.05,-5.84,-3.96
RL4-1107,21.9,24.50,2.06,-5.78,-3.92
RL4-1108,22.1,24.71,2.07,-5.99,-3.76
RL4-1109,22.3,24.92,2.08,-6.14,-3.90
RL4-1110,22.5,25.13,2.09,-6.32,-3.95
RL4-1111,22.7,25.34,2.10,-6.65,-3.89
RL4-1112,22.9,25.55,2.11,-6.69,-3.89
RL4-1113,23.1,25.76,2.12,-6.63,-3.93
RL4-1114,23.3,25.97,2.13,-7.16,-3.88
RL4-1115,23.5,26.18,2.14,-7.31,-3.88
RL4-1116,23.7,26.39,2.14,-7.10,-3.95
RL4-1117,23.9,26.60,2.15,-7.15,-3.99
RL4-1118,24.1,26.81,2.16,-7.09,-3.87
RL4-1119,24.3,27.02,2.16,-7.06,-3.63
RL4-1120,24.5,27.23,2.17,-7.30,-3.92
RL4 1120A,24.7,27.44,2.18,-7.81,-3.96
RL4 1121,24.9,27.65,2.18,-7.82,-4.12
RL4 1122,25.1,27.86,2.19,-7.64,-3.94
RL4 1123,25.3,28.07,2.20,-6.93,-3.79
RL4 1124,25.5,28.28,2.20,-7.22,-4.15
RL4 1125,25.7,28.50,2.21,-7.24,-3.92
RL4 1126,25.9,28.71,2.21,-7.02,-3.96
RL4 1127,26.1,28.92,2.22,-6.85,-3.89
RL4 1128,26.3,29.13,2.23,-7.08,-4.05
RL4 1129,26.5,29.34,2.24,-7.57,-4.00
RL4 1130,26.7,29.55,2.24,-7.94,-4.19
RL4 1131,26.9,29.76,2.25,-7.97,-4.05
RL4 1132,27.1,29.97,2.26,-7.86,-4.19
RL4 1133,27.3,30.18,2.27,-6.97,-3.91
