"name","z","from_95_4","to_95_4",
"13",153,-5011,-4259,
"i761",152,-4986,-4200,
"i756",151,-4927,-4176,
"i751",150,-4881,-4155,
"i746",149,-4859,-4135,
"i741",148,-4814,-4087,
"i736",147,-4766,-4069,
"i731",146,-4719,-4033,
"i726",145,-4697,-3993,
"i721",144,-4647,-3955,
"i716",143,-4622,-3934,
"i711",142,-4551,-3899,
"i706",141,-4511,-3878,
"i701",140,-4471,-3850,
"i696",139,-4435,-3821,
"i691",138,-4395,-3797,
"i686",137,-4357,-3759,
"12",136,-4296,-3728,
"i676",135,-4253,-3692,
"i671",134,-4222,-3669,
"i666",133,-4184,-3642,
"i661",132,-4129,-3598,
"i656",131,-4080,-3569,
"i651",130,-4044,-3546,
"i646",129,-3998,-3508,
"i641",128,-3967,-3494,
"i636",127,-3916,-3468,
"i631",126,-3870,-3431,
"i626",125,-3830,-3409,
"i621",124,-3784,-3379,
"i616",123,-3734,-3351,
"i611",122,-3687,-3323,
"i606",121,-3635,-3294,
"11",120,-3582,-3269,
"i596",119,-3540,-3222,
"i591",118,-3490,-3180,
"10",117,-3442,-3141,
"i581",116,-3402,-3036,
"i576",115,-3358,-2939,
"i571",114,-3295,-2847,
"i566",113,-3235,-2774,
"9",112,-3178,-2689,
"i556",111,-3121,-2636,
"i551",110,-3046,-2568,
"i546",109,-2976,-2502,
"i541",108,-2904,-2444,
"i536",107,-2822,-2386,
"i531",106,-2738,-2337,
"i526",105,-2655,-2294,
"8",104,-2548,-2252,
"i516",103,-2518,-2216,
"i511",102,-2488,-2178,
"i506",101,-2455,-2138,
"i501",100,-2427,-2103,
"i496",99,-2395,-2068,
"i491",98,-2363,-2032,
"i486",97,-2330,-1995,
"i481",96,-2293,-1960,
"i476",95,-2260,-1932,
"i471",94,-2234,-1896,
"i466",93,-2192,-1868,
"i461",92,-2150,-1835,
"i456",91,-2116,-1805,
"i451",90,-2076,-1781,
"i446",89,-2038,-1758,
"i441",88,-1998,-1725,
"i436",87,-1952,-1701,
"i431",86,-1908,-1678,
"7",85.5,-1887,-1666,
"i426",85,-1877,-1654,
"i421",84,-1859,-1629,
"i416",83,-1840,-1607,
"i411",82,-1825,-1588,
"i406",81,-1803,-1562,
"i401",80,-1785,-1546,
"i396",79,-1768,-1526,
"i391",78,-1743,-1501,
"6",77,-1724,-1484,
"i381",76,-1702,-1456,
"i376",75,-1683,-1423,
"i371",74,-1661,-1393,
"i366",73,-1640,-1362,
"i361",72,-1622,-1335,
"i356",71,-1599,-1309,
"i351",70,-1569,-1278,
"i346",69,-1550,-1257,
"i341",68,-1520,-1226,
"i336",67,-1502,-1196,
"i331",66,-1478,-1178,
"i326",65,-1456,-1155,
"i321",64,-1431,-1135,
"i316",63,-1409,-1111,
"i311",62,-1381,-1087,
"i306",61,-1356,-1066,
"i301",60,-1328,-1043,
"i296",59,-1304,-1024,
"i291",58,-1273,-998,
"i286",57,-1246,-978,
"5",56,-1219,-959,
"i276",55,-1197,-921,
"i271",54,-1170,-887,
"i266",53,-1138,-841,
"i261",52,-1113,-810,
"i256",51,-1085,-776,
"i251",50,-1064,-746,
"i246",49,-1034,-711,
"i241",48,-1000,-675,
"i236",47,-971,-646,
"i231",46,-939,-615,
"i226",45,-910,-589,
"i221",44,-881,-561,
"i216",43,-838,-526,
"i211",42,-814,-501,
"i206",41,-780,-470,
"i201",40,-749,-440,
"i196",39,-714,-416,
"i191",38,-683,-392,
"i186",37,-647,-364,
"i181",36,-613,-340,
"i176",35,-576,-315,
"i171",34,-544,-294,
"i166",33,-505,-270,
"i161",32,-468,-250,
"i156",31,-427,-232,
"4",30.5,-402,-222,
"i151",30,-393,-198,
"i146",29,-372,-150,
"i141",28,-345,-96,
"i136",27,-321,-60,
"3",26,-293,-19,
"i126",25,-265,27,
"i121",24,-237,67,
"i116",23,-207,111,
"i111",22,-181,144,
"i106",21,-149,181,
"i101",20,-120,218,
"i96",19,-84,256,
"i91",18,-55,295,
"i86",17,-17,334,
"i81",16,17,369,
"i76",15,44,403,
"2",14.5,60,437,
"i71",14,96,441,
"i66",13,132,467,
"i61",12,167,498,
"i56",11,204,534,
"i51",10,240,560,
"i46",9,278,591,
"i41",8,315,620,
"i36",7,365,650,
"i31",6,400,679,
"i26",5,441,702,
"i21",4,484,729,
"i16",3,532,755,
"1",2,579,777,
