"sample","rcybp","err"
"OxA-3750",3580,75
"UBA-32019",3842,28
"UBA-32036",3846,33
"UBA-32014",3849,26
"UBA-32033",3857,36
"UBA-32043",3877,32
"UBA-32027",3893,28
"UBA-32015",3903,31
"UBA-32017",4009,39
"UBA-32018",3904,30
"SUERC-45309",3898,45
"SUERC-45310",3910,45
"SUERC-45312",3871,45
"SUERC-45311",3929,45
"SUERC-4391",3910,40
"SUERC-4390",3920,35
"UBA-32045",3926,28
"SUERC-45318",3941,45
"UBA-32020",3942,28
"OxA-27687",3942,28
"OxA-27840",3945,27
"UBA-32022",3947,32
"UBA-32062",3952,55
"UBA-32023",3955,31
"SUERC-45316",3957,45
"OxA-27838",3958,24
"UBA-32051",3963,32
"UBA-32053",3970,25
"UBA-32032",3983,48
"UBA-32034",3986,34
"UBA-32052",3987,27
"OxA-27839",3990,25
"SUERC-45317",4002,45
"UBA-32016",4017,31
"UBA-32044",4023,26
"OxA-27803",4027,26
"UBA-32037",4031,36
"UBA-32009",4032,31
"UBA-32012",4033,27
"SUERC-4389",4035,35
"UBA-32057",4036,27
"UBA-32060",4039,29
"OxA-33926",4040,35
"UBA-32024",4043,27
"UBA-32042",4047,32
"UBA-32039",4047,39
"UBA-10378",4048,28
"UBA-32031",4048,40
"OxA-33927",4050,36
"UBA-10383",4054,24
"OxA-27836",4058,26
"UBA-32049",4065,26
"UBA-32025",4066,27
"UBA-32021",4069,33
"OxA-27832",4077,33
"OxA-3571",4080,65
"OxA-33928",4096,36
"UBA-32056",4099,27
"UBA-32006",4102,30
"UBA-32048",4107,37
"UBA-32030",4109,34
"OxA-33924",4114,37
"UBA-32028",4118,33
"UBA-32059",4128,29
"UBA-32035",4129,39
"UBA-32050",4130,33
"UBA-32047",4131,25
"UBA-32013",4131,29
"UBA-32061",4133,41
"UBA-32008",4136,30
"UBA-32010",4147,31
"UBA-32041",4150,45
"UBA-32038",4162,35
"OxA-3573",4170,65
"UBA-32007",4184,33
"OxA-27834",4191,25
"OxA-33923",4194,37
"OxA-27837",4198,26
"UBA-32040",4208,73
"UBA-32011",4215,31
"OxA-27833",4219,26
"OxA-3575",4225,70
"OxA-33925",4234,35
"UBA-32026",4237,30
"OxA-3569",4250,65
"OxA-3574",4260,60
"UBA-32003",4263,33
"OxA-3570",4300,60
"UBA-32046",4351,29
"OxA-33922",4495,35
"OxA-33921",4554,37
"OxA-3566",4600,65
"UBA-32005",4727,52
"OxA-27802",4759,27
"OxA-3572",5380,70
